Sensor 0,100,2018-10-17T11:57:56,66.09625296827544
Sensor 1,100,2018-10-17T11:57:56,56.51026027352223
Sensor 2,100,2018-10-17T11:57:56,67.35987192600237
Sensor 3,100,2018-10-17T11:57:56,68.12009783887608
Sensor 4,100,2018-10-17T11:57:56,61.33681838307866
Sensor 5,100,2018-10-17T11:57:56,69.75138597752917
Sensor 6,100,2018-10-17T11:57:56,55.02819916139327
Sensor 7,100,2018-10-17T11:57:56,70.50939211539942
Sensor 8,100,2018-10-17T11:57:56,61.71292163839751
Sensor 0,100,2018-10-17T11:57:56,66.14435646487485
Sensor 1,100,2018-10-17T11:57:56,56.40664023464645
Sensor 2,100,2018-10-17T11:57:56,67.20273611177211
Sensor 3,100,2018-10-17T11:57:56,67.9794470559592
Sensor 4,100,2018-10-17T11:57:56,61.40030739251131
Sensor 5,100,2018-10-17T11:57:56,69.51599193827062
Sensor 6,100,2018-10-17T11:57:56,55.25571031257071
Sensor 7,100,2018-10-17T11:57:56,70.61615242476869
Sensor 8,100,2018-10-17T11:57:56,61.72380792858069
Sensor 0,100,2018-10-17T11:57:56,66.26128343288633
Sensor 1,100,2018-10-17T11:57:56,56.35256520320472
Sensor 2,100,2018-10-17T11:57:56,67.20134150181433
Sensor 3,100,2018-10-17T11:57:56,68.1594853239728
Sensor 4,100,2018-10-17T11:57:56,61.396557549081024
Sensor 5,100,2018-10-17T11:57:56,69.74440073478026
Sensor 6,100,2018-10-17T11:57:56,55.1137695317552
Sensor 7,100,2018-10-17T11:57:56,70.63537358543029
Sensor 8,100,2018-10-17T11:57:56,61.91510049475164
Sensor 0,100,2018-10-17T11:57:56,66.23484551583739
Sensor 1,100,2018-10-17T11:57:56,56.24383924024833
Sensor 2,100,2018-10-17T11:57:56,66.94699688349462
Sensor 3,100,2018-10-17T11:57:56,68.02716289112064
Sensor 4,100,2018-10-17T11:57:56,61.24786509406355
Sensor 5,100,2018-10-17T11:57:56,69.91247156283265
Sensor 6,100,2018-10-17T11:57:56,54.984669572556605
Sensor 7,100,2018-10-17T11:57:56,70.64382321907519
Sensor 8,100,2018-10-17T11:57:56,62.078944443187375
